"order_id","order_date","order_priority","ship_date","shipping_delay","ship_mode","shipping_cost","customer_id","customer_name","segment","customer_tenure","payment_method","country","state","city","postal_code","region","product_id","product_name","category","sub_category","product_rating","marketing_channel","quantity","return_status","discount","sales","profit","profit_margin","discount_reason"
"CA-2016-101623","2016-02-28","Medium","2016-03-06",7,"Standard Class","5.45","RR-19525","Rick Reed","Corporate","Returning","Credit Card","United States","New York","New York City","10035","East","OFF-FA-10003495","Staples","Office Supplies","Fasteners","1","Referral",6,"No","0","36.48","18.24","50","No Discount"
"CA-2017-154410","2017-10-21","High","2017-10-24",3,"First Class","90.1","MD-17860","Michael Dominguez","Corporate","New","Credit Card","United States","Indiana","Indianapolis","46203","Central","OFF-ST-10002743","SAFCO Boltless Steel Shelving","Office Supplies","Storage","4","Social Media",8,"No","0","909.12","9.0912","1","No Discount"
"CA-2017-127306","2017-01-14","High","2017-01-18",4,"Standard Class","0.27","BH-11710","Brosina Hoffman","Consumer","New","Net Banking","United States","Tennessee","Johnson City","37604","South","OFF-BI-10003727","Avery Durable Slant Ring Binders With Label Holder","Office Supplies","Binders","4","Referral",2,"Yes","0.7","2.508","-1.8392","-73.33333333333333","Clearance"
"CA-2016-126102","2016-09-10","Low","2016-09-12",2,"Second Class","19","DV-13465","Dianna Vittorini","Consumer","Returning","Credit Card","United States","California","Los Angeles","90049","West","OFF-BI-10004318","Ibico EB-19 Dual Function Manual Binding System","Office Supplies","Binders","1","Direct",2,"No","0.2","276.784","89.9548","32.5","Promo"
"CA-2016-101336","2016-11-13","Low","2016-11-18",5,"Standard Class","4.76","CK-12760","Cyma Kinney","Corporate","Returning","UPI","United States","New York","New York City","10011","East","OFF-ST-10004258","Portable Personal File Box","Office Supplies","Storage","2","Ads",3,"No","0","36.63","9.8901","27","No Discount"
"US-2016-162852","2016-12-27","High","2016-12-31",4,"Standard Class","48.37","BG-11695","Brooke Gillingham","Corporate","Returning","Net Banking","United States","Illinois","Woodstock","60098","Central","FUR-CH-10004853","Global Manager's Adjustable Task Chair, Storm","Furniture","Chairs","3","Direct",8,"No","0.3","845.488","-12.0784","-1.4285714285714286","Bulk Deal"
"CA-2014-114251","2014-11-05","Medium","2014-11-10",5,"Standard Class","76.98","MD-17350","Maribeth Dona","Consumer","New","Cash on Delivery","United States","Pennsylvania","Philadelphia","19143","East","OFF-ST-10003716","Tennsco Double-Tier Lockers","Office Supplies","Storage","5","Ads",6,"No","0.2","1080.096","-94.5084","-8.75","Promo"
"CA-2016-136686","2016-12-12","Critical","2016-12-16",4,"Standard Class","6.21","RF-19840","Roy Französisch","Consumer","Returning","UPI","United States","California","Pasadena","91104","West","OFF-AP-10002350","Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector","Office Supplies","Appliances","3","Ads",3,"No","0","56.52","15.8256","27.999999999999996","No Discount"
"CA-2014-104738","2014-12-30","High","2015-01-01",2,"Second Class","0.28","SP-20620","Stefania Perrino","Corporate","Returning","Net Banking","United States","Texas","Laredo","78041","Central","OFF-BI-10002160","Acco Hanging Data Binders","Office Supplies","Binders","3","Social Media",3,"No","0.8","2.286","-3.6576","-160","Clearance"
"CA-2016-148852","2016-05-26","Low","2016-05-31",5,"Standard Class","30","SV-20785","Stewart Visinsky","Consumer","Returning","Cash on Delivery","United States","California","Santa Ana","92704","West","FUR-CH-10004860","Global Low Back Tilter Chair","Furniture","Chairs","4","Direct",6,"No","0.2","484.704","-84.8232","-17.5","Promo"
"CA-2017-107314","2017-11-30","Critical","2017-12-03",3,"First Class","3.49","MZ-17335","Maria Zettner","Home Office","Returning","Cash on Delivery","United States","California","San Francisco","94109","West","FUR-FU-10003489","Contemporary Borderless Frame","Furniture","Furnishings","1","Direct",3,"No","0","25.83","9.5571","37.00000000000001","No Discount"
"CA-2016-108196","2016-11-25","Medium","2016-12-02",7,"Standard Class","7.07","CS-12505","Cindy Stewart","Consumer","New","Cash on Delivery","United States","Ohio","Lancaster","43130","East","TEC-AC-10000926","NETGEAR RangeMax WNR1000 Wireless Router","Technology","Accessories","4","Direct",3,"No","0.2","59.976","11.9952","20","Promo"
