Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Order_Priority,Shipping_Cost,Customer_Tenure,Marketing_Channel,Product_Rating,Return_Status,Payment_Method,Shipping_Delay,Profit_Margin,Discount_Reason
CA-2016-101623,28-02-16,06-03-16,Standard Class,RR-19525,Rick Reed,Corporate,United States,New York City,New York,10035,East,OFF-FA-10003495,Office Supplies,Fasteners,Staples,36.48,6,0,18.24,Medium,5.45,Returning,Referral,1,No,Credit Card,7,50,No Discount
CA-2017-154410,21-10-17,24-10-17,First Class,MD-17860,Michael Dominguez,Corporate,United States,Indianapolis,Indiana,46203,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,909.12,8,0,9.0912,High,90.1,New,Social Media,4,No,Credit Card,3,1,No Discount
CA-2017-127306,14-01-17,18-01-17,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Johnson City,Tennessee,37604,South,OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,2.508,2,0.7,-1.8392,High,0.27,New,Referral,4,Yes,Net Banking,4,-73.33333333,Clearance
CA-2016-126102,10-09-16,12-09-16,Second Class,DV-13465,Dianna Vittorini,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10004318,Office Supplies,Binders,Ibico EB-19 Dual Function Manual Binding System,276.784,2,0.2,89.9548,Low,19,Returning,Direct,1,No,Credit Card,2,32.5,Promo
CA-2016-101336,13-11-16,18-11-16,Standard Class,CK-12760,Cyma Kinney,Corporate,United States,New York City,New York,10011,East,OFF-ST-10004258,Office Supplies,Storage,Portable Personal File Box,36.63,3,0,9.8901,Low,4.76,Returning,Ads,2,No,Upi,5,27,No Discount
US-2016-162852,27-12-16,31-12-16,Standard Class,BG-11695,Brooke Gillingham,Corporate,United States,Woodstock,Illinois,60098,Central,FUR-CH-10004853,Furniture,Chairs,"Global Manager's Adjustable Task Chair, Storm",845.488,8,0.3,-12.0784,High,48.37,Returning,Direct,3,No,Net Banking,4,-1.428571429,Bulk Deal
CA-2014-114251,05-11-14,10-11-14,Standard Class,MD-17350,Maribeth Dona,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-ST-10003716,Office Supplies,Storage,Tennsco Double-Tier Lockers,1080.096,6,0.2,-94.5084,Medium,76.98,New,Ads,5,No,Cash On Delivery,5,-8.75,Promo
CA-2016-136686,12-12-16,16-12-16,Standard Class,RF-19840,Roy Französisch,Consumer,United States,Pasadena,California,91104,West,OFF-AP-10002350,Office Supplies,Appliances,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,56.52,3,0,15.8256,Critical,6.21,Returning,Ads,3,No,Upi,4,28,No Discount
CA-2014-104738,30-12-14,01-01-15,Second Class,SP-20620,Stefania Perrino,Corporate,United States,Laredo,Texas,78041,Central,OFF-BI-10002160,Office Supplies,Binders,Acco Hanging Data Binders,2.286,3,0.8,-3.6576,High,0.28,Returning,Social Media,3,No,Net Banking,2,-160,Clearance
CA-2016-148852,26-05-16,31-05-16,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Santa Ana,California,92704,West,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,484.704,6,0.2,-84.8232,Low,30,Returning,Direct,4,No,Cash On Delivery,5,-17.5,Promo
CA-2017-107314,30-11-17,03-12-17,First Class,MZ-17335,Maria Zettner,Home Office,United States,San Francisco,California,94109,West,FUR-FU-10003489,Furniture,Furnishings,Contemporary Borderless Frame,25.83,3,0,9.5571,Critical,3.49,Returning,Direct,1,No,Cash On Delivery,3,37,No Discount
CA-2016-108196,25-11-16,02-12-16,Standard Class,CS-12505,Cindy Stewart,Consumer,United States,Lancaster,Ohio,43130,East,TEC-AC-10000926,Technology,Accessories,NETGEAR RangeMax WNR1000 Wireless Router,59.976,3,0.2,11.9952,Medium,7.07,New,Direct,4,No,Cash On Delivery,7,20,Promo
CA-2017-102771,31-03-17,05-04-17,Standard Class,DO-13435,Denny Ordway,Consumer,United States,New York City,New York,10035,East,TEC-PH-10001536,Technology,Phones,Spigen Samsung Galaxy S5 Case Wallet,84.95,5,0,22.087,High,6.75,New,Social Media,2,No,Net Banking,5,26,No Discount
